epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2322.62,0.80561,1.03407,0.77291,1.33082,0.82652,0.86631,0.84172,0.62263,0.82652,0.86631,0.85965,0.73929,1.1047,0.92635,0.97227,1.19938,0.00029352,0.00029352,0.00029352
61,2393.48,0.77072,0.71047,0.65231,1.27641,0.90438,0.85992,0.83655,0.61138,0.90438,0.85992,0.87432,0.74604,1.05373,0.86718,0.95478,1.14573,0.000281629,0.000281629,0.000281629
62,2433.87,0.7528,0.72296,0.66664,1.29915,0.84802,0.87273,0.85948,0.63417,0.84802,0.87273,0.88206,0.73986,0.99708,0.8739,0.86954,1.08663,0.00026986,0.00026986,0.00026986
63,2474.12,0.73899,0.64995,0.65965,1.25269,0.86998,0.83636,0.85275,0.66399,0.86998,0.83636,0.87627,0.74584,0.97226,0.93748,0.88396,1.05757,0.000258223,0.000258223,0.000258223
64,2513.99,0.72868,0.68297,0.61569,1.2458,0.86846,0.84035,0.87578,0.64398,0.86846,0.84035,0.89209,0.77121,1.02004,1.00434,0.85266,1.06849,0.000246729,0.000246729,0.000246729
65,2553.73,0.71921,0.64673,0.63087,1.25096,0.83241,0.89091,0.8732,0.67615,0.83241,0.89091,0.88979,0.76192,0.97695,1.01689,0.81393,1.04865,0.000235391,0.000235391,0.000235391
66,2593.9,0.71795,0.62394,0.5833,1.22704,0.85782,0.87762,0.87895,0.64877,0.85782,0.87762,0.89807,0.76261,1.01528,1.02877,0.81421,1.05675,0.00022422,0.00022422,0.00022422
67,2630.95,0.69825,0.65354,0.59551,1.24842,0.91252,0.87273,0.8738,0.64188,0.91252,0.87273,0.88476,0.76531,1.03628,1.00941,0.82656,1.07401,0.000213226,0.000213226,0.000213226
68,2667.75,0.6718,0.60785,0.56223,1.22138,0.84402,0.88555,0.88704,0.64801,0.84402,0.88555,0.89779,0.77648,1.0138,0.78859,0.81808,1.036,0.00020242,0.00020242,0.00020242
69,2704.45,0.66614,0.58899,0.56457,1.20852,0.84396,0.89091,0.88762,0.64373,0.84396,0.89091,0.89946,0.7665,0.97351,0.74517,0.79882,1.00759,0.000191813,0.000191813,0.000191813
70,2741.24,0.72651,0.65764,0.62212,1.23142,0.8699,0.85108,0.89253,0.66657,0.82946,0.88437,0.90131,0.77042,0.91136,0.76905,0.79322,0.98748,0.000181415,0.000181415,0.000181415
71,2780.78,0.69534,0.62694,0.59393,1.20192,0.86054,0.85455,0.89065,0.66478,0.86054,0.85455,0.90115,0.78898,0.93503,0.76975,0.8096,1.01909,0.000171237,0.000171237,0.000171237
72,2824.39,0.72571,0.6086,0.60367,1.21786,0.89407,0.8,0.87954,0.66508,0.89407,0.8,0.88907,0.77483,0.97861,0.745,0.8164,1.05149,0.000161289,0.000161289,0.000161289
73,2861.47,0.67128,0.58715,0.55056,1.18177,0.88058,0.8,0.88714,0.66396,0.88058,0.8,0.8933,0.77536,0.97671,0.80826,0.7985,1.04697,0.00015158,0.00015158,0.00015158
74,2898.12,0.65144,0.5645,0.5318,1.18509,0.83949,0.85586,0.8888,0.66817,0.83949,0.85586,0.89561,0.78989,0.96292,0.82026,0.78551,1.02097,0.000142121,0.000142121,0.000142121
75,2937.87,0.63216,0.52178,0.54457,1.17408,0.83777,0.84509,0.88129,0.668,0.85574,0.86289,0.89653,0.78745,0.96498,0.88999,0.78959,1.0125,0.000132919,0.000132919,0.000132919
76,2974.82,0.65546,0.56229,0.53308,1.18199,0.86757,0.83636,0.88873,0.6725,0.8568,0.87033,0.9004,0.80366,0.99529,0.81267,0.77554,1.02564,0.000123986,0.000123986,0.000123986
77,3014.33,0.63407,0.49985,0.59371,1.16116,0.87101,0.8,0.89381,0.67173,0.83312,0.85455,0.91334,0.79096,0.99431,0.80718,0.75127,1.03499,0.000115328,0.000115328,0.000115328
78,3051.08,0.59217,0.4905,0.52731,1.13169,0.89959,0.83636,0.89752,0.67621,0.91014,0.85455,0.9215,0.78366,0.97851,0.81712,0.73703,1.02219,0.000106956,0.000106956,0.000106956
79,3087.85,0.64912,0.50074,0.52364,1.15453,0.86683,0.81818,0.89916,0.69045,0.86683,0.81818,0.91259,0.78878,0.90569,0.80456,0.70338,0.96262,9.88768e-05,9.88768e-05,9.88768e-05
80,3127.92,0.60673,0.5785,0.51505,1.1345,0.86995,0.83636,0.88858,0.70292,0.88932,0.85455,0.91647,0.78064,0.87268,0.80619,0.74047,0.94367,9.10986e-05,9.10986e-05,9.10986e-05
81,3167.74,0.58261,0.50724,0.54717,1.10044,0.86925,0.81818,0.88891,0.71155,0.89239,0.83636,0.91511,0.78031,0.87086,0.81364,0.767,0.94579,8.36293e-05,8.36293e-05,8.36293e-05
82,3209.99,0.60561,0.48646,0.49937,1.13412,0.87419,0.81818,0.88159,0.70929,0.89362,0.83636,0.90558,0.77776,0.86208,0.80848,0.7624,0.94344,7.64761e-05,7.64761e-05,7.64761e-05
83,3246.78,0.59346,0.49196,0.50136,1.12562,0.86511,0.8163,0.88243,0.69896,0.88387,0.83034,0.90447,0.79178,0.86321,0.7965,0.75307,0.93862,6.96461e-05,6.96461e-05,6.96461e-05
84,3283.4,0.55697,0.43801,0.45969,1.12723,0.78883,0.90909,0.88148,0.69571,0.78883,0.90909,0.89396,0.77929,0.88033,0.80104,0.7199,0.94548,6.31462e-05,6.31462e-05,6.31462e-05
85,3320.27,0.55121,0.44212,0.46805,1.13517,0.83148,0.87273,0.88169,0.69098,0.8551,0.89091,0.90142,0.79662,0.87679,0.77446,0.70152,0.94438,5.69826e-05,5.69826e-05,5.69826e-05
86,3356.92,0.60075,0.46264,0.46218,1.12001,0.82417,0.89091,0.88139,0.70172,0.8412,0.90909,0.89868,0.78895,0.8586,0.7673,0.71186,0.93432,5.11614e-05,5.11614e-05,5.11614e-05
87,3393.66,0.57953,0.4931,0.44633,1.12188,0.82918,0.89091,0.88089,0.71629,0.83972,0.90909,0.89674,0.78656,0.84629,0.75658,0.7275,0.92067,4.56885e-05,4.56885e-05,4.56885e-05
88,3433.29,0.58144,0.49963,0.47515,1.1587,0.84426,0.88711,0.86784,0.69958,0.84426,0.88711,0.87648,0.78226,0.83618,0.75731,0.73736,0.9122,4.05692e-05,4.05692e-05,4.05692e-05
89,3469.13,0.5506,0.43332,0.45102,1.09446,0.83978,0.89091,0.8785,0.70685,0.83978,0.89091,0.88608,0.78356,0.82724,0.75215,0.74392,0.90596,3.58085e-05,3.58085e-05,3.58085e-05
90,3505.87,0.56319,0.44233,0.4466,1.11709,0.83991,0.89091,0.88402,0.70819,0.83991,0.89091,0.88729,0.78057,0.82601,0.74218,0.74091,0.90628,3.14112e-05,3.14112e-05,3.14112e-05
