epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,5797.6,1.0792,1.86369,1.24687,1.51007,0.791,0.4258,0.45889,0.3499,0.791,0.4258,0.46204,0.36373,1.26733,1.62233,1.34364,1.28007,0.000465948,0.000465948,0.000465948
47,5921.27,1.09217,1.90173,1.24994,1.4943,0.68584,0.54537,0.47361,0.36957,0.68735,0.54722,0.47259,0.36075,1.24292,1.65175,1.30313,1.20807,0.000453632,0.000453632,0.000453632
48,6045.07,1.10747,1.9332,1.30518,1.52152,0.71621,0.53066,0.49394,0.38779,0.6994,0.53796,0.49191,0.37728,1.2153,1.51364,1.2466,1.20067,0.000441267,0.000441267,0.000441267
49,6170.13,1.06092,1.79346,1.20898,1.46931,0.46152,0.43796,0.44709,0.3506,0.46119,0.43981,0.44642,0.34396,1.25753,1.48321,1.34022,1.299,0.000428865,0.000428865,0.000428865
50,6293.63,1.0385,1.71276,1.20137,1.43001,0.39755,0.55745,0.49,0.38564,0.40013,0.56116,0.49004,0.36737,1.22431,1.52687,1.23855,1.25308,0.000416439,0.000416439,0.000416439
51,6416.9,1.07174,1.81537,1.20603,1.46399,0.51657,0.5213,0.53496,0.39725,0.49768,0.52315,0.53188,0.43318,1.28242,1.47274,1.22188,1.2927,0.000404,0.000404,0.000404
52,6545.39,1.04951,1.78088,1.20429,1.43086,0.54194,0.43241,0.47518,0.36763,0.54559,0.43611,0.47713,0.38908,1.22952,1.49036,1.25939,1.20952,0.000391561,0.000391561,0.000391561
53,6668.25,1.04041,1.81146,1.19249,1.433,0.4409,0.475,0.46677,0.3511,0.4409,0.475,0.46352,0.35532,1.2471,1.50119,1.18633,1.22692,0.000379135,0.000379135,0.000379135
54,6791.66,1.06589,1.86688,1.18755,1.4713,0.47924,0.46932,0.48606,0.37523,0.47924,0.46932,0.48586,0.36762,1.1943,1.51227,1.26396,1.21227,0.000366733,0.000366733,0.000366733
55,6914.27,1.02374,1.72689,1.18943,1.42198,0.54948,0.517,0.53135,0.39782,0.55262,0.51652,0.53,0.40306,1.24678,1.5298,1.20272,1.2148,0.000354368,0.000354368,0.000354368
56,7038.28,1.04476,1.78378,1.16591,1.42842,0.45038,0.47655,0.47155,0.35902,0.45378,0.48139,0.47301,0.35657,1.25728,1.49754,1.21805,1.24497,0.000342052,0.000342052,0.000342052
57,7160.93,1.04043,1.79637,1.17698,1.43926,0.50154,0.47685,0.50348,0.37743,0.50396,0.4787,0.50179,0.37839,1.29849,1.50811,1.22511,1.2582,0.000329797,0.000329797,0.000329797
58,7286.04,1.03858,1.75815,1.17452,1.42015,0.52317,0.45833,0.49249,0.39176,0.52122,0.46759,0.49242,0.37987,1.15504,1.45738,1.22187,1.13601,0.000317615,0.000317615,0.000317615
59,7409.4,1.00012,1.69332,1.154,1.43404,0.5443,0.44486,0.49999,0.39489,0.53561,0.44989,0.49832,0.38939,1.21792,1.50914,1.20971,1.18807,0.000305519,0.000305519,0.000305519
60,7534.03,1.0013,1.72236,1.13703,1.42134,0.53071,0.54935,0.55611,0.42797,0.52895,0.54674,0.55131,0.42488,1.21873,1.42408,1.15189,1.18675,0.00029352,0.00029352,0.00029352
